Timestamp,Тип студијског програма:,Смер:,Дужина студирања на тренутном програму:,Просечна оцена током студирања:,Колико често присуствујете предавањима? ,Лоша припрема професора ,Читање са слајдова без додатног објашњавања ,Превише стручних термина,Монотон начин предавања ,Недостатак интеракције са студентима ,"Недостатак визуелних помагала (презентације, табеле, ...) ","Недостатак техничке подршке (пројектори, табле, ...) ",Недостатак примера ,"Лоша организација времена (предавањe je пребрзo, преспорo, ...)","Поред наведених проблема, по Вашем мишљењу, који још проблеми могу утицати да предавања буду лоша, а који нису поменути?",Сматрам да је предавање лоше ако не укључује практичне примере.,Сматрам да је предавање лоше уколико није прилагођено реалним потребама у пракси.,Сматрам да је предавање лоше уколико се одржава у простору који је неадекватан.,Сматрам да је предавање лоше ако професор нема способност да задржи концентрацију студената током предавања.,Сматрам да је предавање лоше уколико се студенти осећају нелагодно да поставе питање.,Сматрам да је предавање лоше уколико је незанимљиво и не мотивише студента да им редовно присуствује.,Како Ви дефинишете лоше предавање?,Да ли сте присуствовали неком предавању на Математичком факултету које бисте оценили као лоше?,"Ако је у претходном питању одговор „Да”, шта је највише допринело томе?",Да ли сматрате да професори на Математичком факултету довољно раде на унапређењу квалитета предавања?,Којим предавањима сте били најмање задовољни и зашто?
11/17/2024 12:28:49,Мастер студије,Информатика,1 година,не желим да се изјасним,Ретко присуствујем (мање од 50%),5,5,5,5,5,3,4,4,4,,4,4,3,3,4,4,,Да,,Не,Miticem
11/17/2024 12:29:44,Мастер студије,Информатика,1 година,8.01 - 9.00,Уопште не присуствујем,3,5,3,4,4,4,5,5,5,Nemam odgovor,5,4,4,2,3,2,Samo citanje sa slajdova,Да,Staticnost,Нисам сигуран/а,Baze podataka
11/17/2024 12:30:29,Основне студије,Информатика,више од 4 године,7.01 - 8.00,Често присуствујем (50-75%),3,5,4,4,3,4,2,3,3,Ne uzimanje u obzir predznanje studenata,3,4,2,4,4,4,"Predavanje kod profesora Miroslava Marica (u ovom slucaju online, pusti videe vec snimljenje i tek na kraju odgovara na sva pitanja)",Да,Nisam se osecao kao da sam ista korisno naucio nakon sto se predavanje zavrsilo,Нисам сигуран/а,Pomenuta oredavanja kod MM iz OSa
11/17/2024 12:30:56,Мастер студије,Информатика,1 година,не желим да се изјасним,Често присуствујем (50-75%),5,5,4,5,5,4,5,5,4,,5,5,5,5,5,5,,Да,Monotono predavanje,Нисам сигуран/а,"Istrazivanje podataka, profesor se ne cuje dok prica, vecinon cita samo sa prezentacije…"
11/17/2024 12:35:28,Мастер студије,Информатика,1 година,8.01 - 9.00,Ретко присуствујем (мање од 50%),4,5,2,4,3,2,2,2,3,,1,1,2,3,3,4,,Да,"Monotonost predavanja, profesor samo cita sa slajdova i ne komunicira sa studentima. Osecaj gubljenja vremena.",Нисам сигуран/а,"Linearna algebra i analiticka geometrija. Profesor cita sa slajdova veoma monotono, bez ikakve interakcije sa studentima. Za isto vreme student moze da nauci vise samostalnim ucenjem."
11/17/2024 12:38:10,Основне студије,Информатика,4 године,7.01 - 8.00,Увек присуствујем (више од 75%),5,4,3,3,4,5,3,5,5,,5,4,1,4,5,3,losa interakcija profesor-student. ako profesor ne moze da zadrzi koncetraciju studenta tokom predavanja odredjene teme.,Да,"lakse savladavanje gradiva za ispit, i kasnije ucenje",Нисам сигуран/а,"istrazivanjem podataka 1, profesor ne ume da da zadovoljavajuci odgovor na postavljeno pitanje"
11/17/2024 12:39:03,Мастер студије,Информатика,1 година,8.01 - 9.00,Уопште не присуствујем,4,5,3,5,3,5,4,5,4,,5,5,3,4,4,2,Лоше предавање представља неадекватно практично и академско знање студенту везано за тему курса коју студент слуша.,Да,Професорова неспособност да пренесе знање - објасни значење и примену.,Не,"Проф. Ненад Митића због лошег преношења знања и лошег објашњавања значења појмова и њихових примена, али и због монотоности предавања и читања са презентације. "
11/17/2024 12:42:11,Мастер студије,Информатика,1 година,7.01 - 8.00,Увек присуствујем (више од 75%),5,4,4,5,5,4,4,4,5,,4,4,4,5,5,4,,Да,"monotono predavanje, čitanje sa slajdova, nema interakcije sa studentima ",Да,IP1 iz razloga što je bilo veoma monotono i bez interakcije sa studentima 
11/17/2024 12:59:06,Мастер студије,Информатика,1 година,8.01 - 9.00,Ретко присуствујем (мање од 50%),5,5,4,5,5,5,5,5,5,,5,5,1,4,5,5,,Не,,Не,"Baze podataka, nisam profesora čuo šta priča"
11/17/2024 13:03:33,Мастер студије,Информатика,1 година,7.01 - 8.00,Увек присуствујем (више од 75%),5,5,4,5,5,3,3,4,4,,4,4,4,5,4,5,Немотивисаност професора при уводу у нову тематику која се обрађује,Да,"Застарела литература, монотоност предавања",Не,"Истраживање података 1, Релационе базе података; лоша литература и одбијање мењање исте"
